title,location,price_raw,price_value,bhk,bathrooms,super_area_sqft,carpet_area_sqft,rent_real,initial_monthly_rent,property_price,interest_rate,down_payment_percent,down_payment,loan_amount,monthly_emi,effective_rent,total_tax_buy,total_tax_rent,final_buying_cost,final_renting_cost,decision,search_text
"3 BHK Flat for Sale in Provident Botanico, Soukya Road, Bangalore","provident botanico, soukya road, bangalore",₹1.40 Cr,14000000,3,3,1480.0,,70000.0,70000.0,14000000,8.5,0.25,3500000.0,10500000.0,91121.0,91121.0,2100000.0,4200000.0,16100000.0,21000000.0,BUY,"3 BHK Flat for Sale in Provident Botanico, Soukya Road, Bangalore located in provident botanico, soukya road, bangalore"
"2 BHK Flat for Sale in Godrej Thanisandra, Thanisandra, Bangalore","godrej thanisandra, thanisandra, bangalore",₹1.61 Cr,16100000,2,2,1193.0,,43000.0,43000.0,16100000,8.5,0.25,4025000.0,12075000.0,104790.0,104790.0,2415000.0,2580000.0,18515000.0,12900000.0,RENT,"2 BHK Flat for Sale in Godrej Thanisandra, Thanisandra, Bangalore located in godrej thanisandra, thanisandra, bangalore"
"3 BHK Flat for Sale in Project by Prestige, Sarjapur Road, Bangalore","project by prestige, sarjapur road, bangalore",₹2.29 Cr,22900000,3,3,1900.0,,70000.0,70000.0,22900000,8.5,0.25,5725000.0,17175000.0,149049.0,149049.0,3435000.0,4200000.0,26335000.0,21000000.0,RENT,"3 BHK Flat for Sale in Project by Prestige, Sarjapur Road, Bangalore located in project by prestige, sarjapur road, bangalore"
"4 BHK Flat for Sale in Project by Century, Hebbal, Bangalore","project by century, hebbal, bangalore",₹4.52 Cr,45199999,4,5,2900.0,,195000.0,195000.0,45199999,8.5,0.25,11299999.75,33899999.25,294192.0,294192.0,6779999.85,11700000.0,51979998.85,58500000.0,BUY,"4 BHK Flat for Sale in Project by Century, Hebbal, Bangalore located in project by century, hebbal, bangalore"
"4 BHK Flat for Sale in Project by Purvankara, Bagaluru, Bangalore","project by purvankara, bagaluru, bangalore",₹2.64 Cr,26400000,4,4,2400.0,,195000.0,195000.0,26400000,8.5,0.25,6600000.0,19800000.0,171829.0,171829.0,3960000.0,11700000.0,30360000.0,58500000.0,BUY,"4 BHK Flat for Sale in Project by Purvankara, Bagaluru, Bangalore located in project by purvankara, bagaluru, bangalore"
"4 BHK Flat for Sale in Phoenix One Bangalore West, Rajajinagar, Bangalore","phoenix one bangalore west, rajajinagar, bangalore",₹7.99 Cr,79900000,4,4,,1853.0,195000.0,195000.0,79900000,8.5,0.25,19975000.0,59925000.0,520043.0,520043.0,11985000.0,11700000.0,91885000.0,58500000.0,RENT,"4 BHK Flat for Sale in Phoenix One Bangalore West, Rajajinagar, Bangalore located in phoenix one bangalore west, rajajinagar, bangalore"
"2 BHK Flat for Sale in Brigade Lakecrest, Krishnarajapura, Bangalore","brigade lakecrest, krishnarajapura, bangalore",₹1.52 Cr,15200000,2,2,1326.0,,43000.0,43000.0,15200000,8.5,0.25,3800000.0,11400000.0,98932.0,98932.0,2280000.0,2580000.0,17480000.0,12900000.0,RENT,"2 BHK Flat for Sale in Brigade Lakecrest, Krishnarajapura, Bangalore located in brigade lakecrest, krishnarajapura, bangalore"
"2 BHK Flat for Sale in DS MAX SAHARA GRAND, Rayasandra Main Road, Bangalore","ds max sahara grand, rayasandra main road, bangalore",₹67.9 Lac,6790000,2,2,1132.0,,43000.0,43000.0,6790000,8.5,0.25,1697500.0,5092500.0,44194.0,44194.0,1018500.0,2580000.0,7808500.0,12900000.0,BUY,"2 BHK Flat for Sale in DS MAX SAHARA GRAND, Rayasandra Main Road, Bangalore located in ds max sahara grand, rayasandra main road, bangalore"
"3 BHK Flat for Sale in Godrej Woods, Thanisandra Main Road, Bangalore","godrej woods, thanisandra main road, bangalore",₹3.31 Cr,33100000,3,3,,1194.0,70000.0,70000.0,33100000,8.5,0.25,8275000.0,24825000.0,215437.0,215437.0,4965000.0,4200000.0,38065000.0,21000000.0,RENT,"3 BHK Flat for Sale in Godrej Woods, Thanisandra Main Road, Bangalore located in godrej woods, thanisandra main road, bangalore"
"4 BHK Flat for Sale in Sobha Magnus, Bannerghatta Main Road, Bangalore","sobha magnus, bannerghatta main road, bangalore",₹4.44 Cr,44400000,4,4,2577.0,,195000.0,195000.0,44400000,8.5,0.25,11100000.0,33300000.0,288985.0,288985.0,6660000.0,11700000.0,51060000.0,58500000.0,BUY,"4 BHK Flat for Sale in Sobha Magnus, Bannerghatta Main Road, Bangalore located in sobha magnus, bannerghatta main road, bangalore"
"4 BHK Flat for Sale in Sumadhura Capitol Residences, Whitefield, Bangalore","sumadhura capitol residences, whitefield, bangalore",₹3.52 Cr,35200000,4,4,2135.0,,195000.0,195000.0,35200000,8.5,0.25,8800000.0,26400000.0,229105.0,229105.0,5280000.0,11700000.0,40480000.0,58500000.0,BUY,"4 BHK Flat for Sale in Sumadhura Capitol Residences, Whitefield, Bangalore located in sumadhura capitol residences, whitefield, bangalore"
"3 BHK Flat for Sale in Livingtree by Kalyani Developers, Bagaluru, Bangalore","livingtree by kalyani developers, bagaluru, bangalore",₹1.52 Cr,15200000,3,3,1639.0,,70000.0,70000.0,15200000,8.5,0.25,3800000.0,11400000.0,98932.0,98932.0,2280000.0,4200000.0,17480000.0,21000000.0,BUY,"3 BHK Flat for Sale in Livingtree by Kalyani Developers, Bagaluru, Bangalore located in livingtree by kalyani developers, bagaluru, bangalore"
"3 BHK Flat for Sale in Barca At Godrej MSR City, Devanahalli, Bangalore","barca at godrej msr city, devanahalli, bangalore",₹2.21 Cr,22100000,3,3,,1538.0,70000.0,70000.0,22100000,8.5,0.25,5525000.0,16575000.0,143842.0,143842.0,3315000.0,4200000.0,25415000.0,21000000.0,RENT,"3 BHK Flat for Sale in Barca At Godrej MSR City, Devanahalli, Bangalore located in barca at godrej msr city, devanahalli, bangalore"
"3 BHK Flat for Sale in Divyasree 77 Life, HAL Old Airport Road, Bangalore","divyasree 77 life, hal old airport road, bangalore",₹10.32 Cr,103200000,3,3,5148.0,,70000.0,70000.0,103200000,8.5,0.25,25800000.0,77400000.0,671695.0,671695.0,15480000.0,4200000.0,118680000.0,21000000.0,RENT,"3 BHK Flat for Sale in Divyasree 77 Life, HAL Old Airport Road, Bangalore located in divyasree 77 life, hal old airport road, bangalore"
"3 BHK Flat for Sale in Abhee Celestial City, Sarjapur Road, Bangalore","abhee celestial city, sarjapur road, bangalore",₹1.62 Cr,16200000,3,2,1595.0,,70000.0,70000.0,16200000,8.5,0.25,4050000.0,12150000.0,105441.0,105441.0,2430000.0,4200000.0,18630000.0,21000000.0,BUY,"3 BHK Flat for Sale in Abhee Celestial City, Sarjapur Road, Bangalore located in abhee celestial city, sarjapur road, bangalore"
"3 BHK Flat for Sale in Embassy Verde, Devanahalli, Bangalore","embassy verde, devanahalli, bangalore",₹1.20 Cr,12000000,3,3,1389.0,,70000.0,70000.0,12000000,8.5,0.25,3000000.0,9000000.0,78104.0,78104.0,1800000.0,4200000.0,13800000.0,21000000.0,BUY,"3 BHK Flat for Sale in Embassy Verde, Devanahalli, Bangalore located in embassy verde, devanahalli, bangalore"
"3 BHK Flat for Sale in Inspira Winds Of Life, Sarjapura Attibele Road, Bangalore","inspira winds of life, sarjapura attibele road, bangalore",₹2.04 Cr,20400000,3,3,,1497.0,70000.0,70000.0,20400000,8.5,0.25,5100000.0,15300000.0,132777.0,132777.0,3060000.0,4200000.0,23460000.0,21000000.0,RENT,"3 BHK Flat for Sale in Inspira Winds Of Life, Sarjapura Attibele Road, Bangalore located in inspira winds of life, sarjapura attibele road, bangalore"
"5 BHK Flat for Sale in Brigade Insignia, Yelahanka, Bangalore","brigade insignia, yelahanka, bangalore",₹10.05 Cr,100500000,5,5,,3582.0,454999.5,454999.5,100500000,8.5,0.25,25125000.0,75375000.0,654122.0,654122.0,15075000.0,27299970.0,115575000.0,136499850.0,BUY,"5 BHK Flat for Sale in Brigade Insignia, Yelahanka, Bangalore located in brigade insignia, yelahanka, bangalore"
"3 BHK Flat for Sale in Prestige Raintree Park, Varthur, Bangalore","prestige raintree park, varthur, bangalore",₹3.53 Cr,35300000,3,3,2490.0,,70000.0,70000.0,35300000,8.5,0.25,8825000.0,26475000.0,229756.0,229756.0,5295000.0,4200000.0,40595000.0,21000000.0,RENT,"3 BHK Flat for Sale in Prestige Raintree Park, Varthur, Bangalore located in prestige raintree park, varthur, bangalore"
"4 BHK Flat for Sale in CKPC Winds of Change, Yelahanka, Bangalore","ckpc winds of change, yelahanka, bangalore",₹2.41 Cr,24100000,4,4,2368.0,,195000.0,195000.0,24100000,8.5,0.25,6025000.0,18075000.0,156859.0,156859.0,3615000.0,11700000.0,27715000.0,58500000.0,BUY,"4 BHK Flat for Sale in CKPC Winds of Change, Yelahanka, Bangalore located in ckpc winds of change, yelahanka, bangalore"
"3 BHK Flat for Sale in Brigade Avalon, Whitefield, Bangalore","brigade avalon, whitefield, bangalore",₹4.60 Cr,46000000,3,2,2765.0,,70000.0,70000.0,46000000,8.5,0.25,11500000.0,34500000.0,299399.0,299399.0,6900000.0,4200000.0,52900000.0,21000000.0,RENT,"3 BHK Flat for Sale in Brigade Avalon, Whitefield, Bangalore located in brigade avalon, whitefield, bangalore"
"3 BHK Flat for Sale in Provident Botanico, Soukya Road, Bangalore","provident botanico, soukya road, bangalore",₹1.27 Cr,12700000,3,3,1349.0,,70000.0,70000.0,12700000,8.5,0.25,3175000.0,9525000.0,82660.0,82660.0,1905000.0,4200000.0,14605000.0,21000000.0,BUY,"3 BHK Flat for Sale in Provident Botanico, Soukya Road, Bangalore located in provident botanico, soukya road, bangalore"
"3 BHK Flat for Sale in DRA Ranka Iris, Indiranagar, Bangalore","dra ranka iris, indiranagar, bangalore",₹7.73 Cr,77300000,3,4,3775.0,,70000.0,70000.0,77300000,8.5,0.25,19325000.0,57975000.0,503121.0,503121.0,11595000.0,4200000.0,88895000.0,21000000.0,RENT,"3 BHK Flat for Sale in DRA Ranka Iris, Indiranagar, Bangalore located in dra ranka iris, indiranagar, bangalore"
4 BHK Villa for Sale in Whitefield Bangalore,whitefield bangalore,₹5 Cr,50000000,4,4,3565.0,,195000.0,195000.0,50000000,8.5,0.25,12500000.0,37500000.0,325434.0,325434.0,7500000.0,11700000.0,57500000.0,58500000.0,BUY,4 BHK Villa for Sale in Whitefield Bangalore located in whitefield bangalore
"3 BHK Flat for Sale in Purva Bluebelle, Magadi Main Road, Bangalore","purva bluebelle, magadi main road, bangalore",₹2.25 Cr,22500000,3,3,1434.0,,70000.0,70000.0,22500000,8.5,0.25,5625000.0,16875000.0,146445.0,146445.0,3375000.0,4200000.0,25875000.0,21000000.0,RENT,"3 BHK Flat for Sale in Purva Bluebelle, Magadi Main Road, Bangalore located in purva bluebelle, magadi main road, bangalore"
"3 BHK Flat for Sale in Magnolia Delight, Kasaba Hobli, Bangalore","magnolia delight, kasaba hobli, bangalore",₹4.02 Cr,40199999,3,4,2668.0,,70000.0,70000.0,40199999,8.5,0.25,10049999.75,30149999.25,261649.0,261649.0,6029999.85,4200000.0,46229998.85,21000000.0,RENT,"3 BHK Flat for Sale in Magnolia Delight, Kasaba Hobli, Bangalore located in magnolia delight, kasaba hobli, bangalore"
"4 BHK Flat for Sale in Vaishnavi At One Krishna Brindavan, Stage 2nd Banashankari, Bangalore","vaishnavi at one krishna brindavan, stage 2nd banashankari, bangalore",₹4.76 Cr,47600000,4,4,,1663.0,195000.0,195000.0,47600000,8.5,0.25,11900000.0,35700000.0,309813.0,309813.0,7140000.0,11700000.0,54740000.0,58500000.0,BUY,"4 BHK Flat for Sale in Vaishnavi At One Krishna Brindavan, Stage 2nd Banashankari, Bangalore located in vaishnavi at one krishna brindavan, stage 2nd banashankari, bangalore"
4 BHK Villa for Sale in Devanahalli Bangalore,devanahalli bangalore,₹6.50 Cr,65000000,4,4,3447.0,,195000.0,195000.0,65000000,8.5,0.25,16250000.0,48750000.0,423064.0,423064.0,9750000.0,11700000.0,74750000.0,58500000.0,RENT,4 BHK Villa for Sale in Devanahalli Bangalore located in devanahalli bangalore
"4 BHK Flat for Sale in Vaishnavi At One Krishna Brindavan, Stage 2nd Banashankari, Bangalore","vaishnavi at one krishna brindavan, stage 2nd banashankari, bangalore",₹4.76 Cr,47600000,4,4,,1663.0,195000.0,195000.0,47600000,8.5,0.25,11900000.0,35700000.0,309813.0,309813.0,7140000.0,11700000.0,54740000.0,58500000.0,BUY,"4 BHK Flat for Sale in Vaishnavi At One Krishna Brindavan, Stage 2nd Banashankari, Bangalore located in vaishnavi at one krishna brindavan, stage 2nd banashankari, bangalore"
"3 BHK Flat for Sale in SNN Estates Felicity, Rachenahalli, Thanisandra, Bangalore","snn estates felicity, rachenahalli, thanisandra, bangalore",₹1.88 Cr,18800000,3,3,1620.0,,70000.0,70000.0,18800000,8.5,0.25,4700000.0,14100000.0,122363.0,122363.0,2820000.0,4200000.0,21620000.0,21000000.0,RENT,"3 BHK Flat for Sale in SNN Estates Felicity, Rachenahalli, Thanisandra, Bangalore located in snn estates felicity, rachenahalli, thanisandra, bangalore"
"5 BHK Flat for Sale in Prestige Raintree Park, Varthur, Bangalore","prestige raintree park, varthur, bangalore",₹5.23 Cr,52300000,5,5,3688.0,,454999.5,454999.5,52300000,8.5,0.25,13075000.0,39225000.0,340404.0,340404.0,7845000.0,27299970.0,60145000.0,136499850.0,BUY,"5 BHK Flat for Sale in Prestige Raintree Park, Varthur, Bangalore located in prestige raintree park, varthur, bangalore"
4 BHK Villa for Sale in Devanahalli Bangalore,devanahalli bangalore,₹5.77 Cr,57699999,4,4,4400.0,,195000.0,195000.0,57699999,8.5,0.25,14424999.75,43274999.25,375550.0,375550.0,8654999.85,11700000.0,66354998.85,58500000.0,RENT,4 BHK Villa for Sale in Devanahalli Bangalore located in devanahalli bangalore
"2 BHK Flat for Sale in Provident Botanico, Soukya Road, Bangalore","provident botanico, soukya road, bangalore",₹99.7 Lac,9970000,2,2,1059.0,,43000.0,43000.0,9970000,8.5,0.25,2492500.0,7477500.0,64891.0,64891.0,1495500.0,2580000.0,11465500.0,12900000.0,BUY,"2 BHK Flat for Sale in Provident Botanico, Soukya Road, Bangalore located in provident botanico, soukya road, bangalore"
"4 BHK Flat for Sale in Prestige Raintree Park, Varthur, Bangalore","prestige raintree park, varthur, bangalore",₹3.52 Cr,35200000,4,3,2482.0,,195000.0,195000.0,35200000,8.5,0.25,8800000.0,26400000.0,229105.0,229105.0,5280000.0,11700000.0,40480000.0,58500000.0,BUY,"4 BHK Flat for Sale in Prestige Raintree Park, Varthur, Bangalore located in prestige raintree park, varthur, bangalore"
"4 BHK Flat for Sale in Prestige Raintree Park, Varthur, Bangalore","prestige raintree park, varthur, bangalore",₹3.18 Cr,31800000,4,3,2240.0,,195000.0,195000.0,31800000,8.5,0.25,7950000.0,23850000.0,206976.0,206976.0,4770000.0,11700000.0,36570000.0,58500000.0,BUY,"4 BHK Flat for Sale in Prestige Raintree Park, Varthur, Bangalore located in prestige raintree park, varthur, bangalore"
"3 BHK Flat for Sale in Provident Botanico, Soukya Road, Bangalore","provident botanico, soukya road, bangalore",₹1.25 Cr,12500000,3,3,1334.0,,70000.0,70000.0,12500000,8.5,0.25,3125000.0,9375000.0,81358.0,81358.0,1875000.0,4200000.0,14375000.0,21000000.0,BUY,"3 BHK Flat for Sale in Provident Botanico, Soukya Road, Bangalore located in provident botanico, soukya road, bangalore"
"3 BHK Flat for Sale in Godrej Woods, Thanisandra Main Road, Bangalore","godrej woods, thanisandra main road, bangalore",₹3.31 Cr,33100000,3,3,,1194.0,70000.0,70000.0,33100000,8.5,0.25,8275000.0,24825000.0,215437.0,215437.0,4965000.0,4200000.0,38065000.0,21000000.0,RENT,"3 BHK Flat for Sale in Godrej Woods, Thanisandra Main Road, Bangalore located in godrej woods, thanisandra main road, bangalore"
"3 BHK Flat for Sale in Shriram Songs Of The Earth, Anekal, Bangalore","shriram songs of the earth, anekal, bangalore",₹1.60 Cr,16000000,3,3,1710.0,,70000.0,70000.0,16000000,8.5,0.25,4000000.0,12000000.0,104139.0,104139.0,2400000.0,4200000.0,18400000.0,21000000.0,BUY,"3 BHK Flat for Sale in Shriram Songs Of The Earth, Anekal, Bangalore located in shriram songs of the earth, anekal, bangalore"
"3 BHK Flat for Sale in The Clan by Global Edifice, Sarjapura, Bangalore","the clan by global edifice, sarjapura, bangalore",₹1.17 Cr,11700000,3,3,1572.0,,70000.0,70000.0,11700000,8.5,0.25,2925000.0,8775000.0,76151.0,76151.0,1755000.0,4200000.0,13455000.0,21000000.0,BUY,"3 BHK Flat for Sale in The Clan by Global Edifice, Sarjapura, Bangalore located in the clan by global edifice, sarjapura, bangalore"
"3 BHK Flat for Sale in Sobha Neopolis, Panathur, Bangalore","sobha neopolis, panathur, bangalore",₹2.80 Cr,28000000,3,3,1915.0,,70000.0,70000.0,28000000,8.5,0.25,7000000.0,21000000.0,182243.0,182243.0,4200000.0,4200000.0,32200000.0,21000000.0,RENT,"3 BHK Flat for Sale in Sobha Neopolis, Panathur, Bangalore located in sobha neopolis, panathur, bangalore"
"3 BHK Flat for Sale in Brigade Eternia, Yelahanka, Bangalore","brigade eternia, yelahanka, bangalore",₹2.43 Cr,24300000,3,3,1620.0,,70000.0,70000.0,24300000,8.5,0.25,6075000.0,18225000.0,158161.0,158161.0,3645000.0,4200000.0,27945000.0,21000000.0,RENT,"3 BHK Flat for Sale in Brigade Eternia, Yelahanka, Bangalore located in brigade eternia, yelahanka, bangalore"
"4 BHK Flat for Sale in Nambiar District 25, Sarjapur Road, Bangalore","nambiar district 25, sarjapur road, bangalore",₹2.54 Cr,25400000,4,4,2065.0,,195000.0,195000.0,25400000,8.5,0.25,6350000.0,19050000.0,165320.0,165320.0,3810000.0,11700000.0,29210000.0,58500000.0,BUY,"4 BHK Flat for Sale in Nambiar District 25, Sarjapur Road, Bangalore located in nambiar district 25, sarjapur road, bangalore"
4 BHK Villa for Sale in Devanahalli Bangalore,devanahalli bangalore,₹8.55 Cr,85500000,4,4,5100.0,,195000.0,195000.0,85500000,8.5,0.25,21375000.0,64125000.0,556492.0,556492.0,12825000.0,11700000.0,98325000.0,58500000.0,RENT,4 BHK Villa for Sale in Devanahalli Bangalore located in devanahalli bangalore
